page,genre
allo allo,1982-1992
bitchin kitchen,
coach,1989-1997
open all hours,1976-1985
ripping yarns,1976-1979
alf,1986-1990
nikita,2010-2013
hercules the legendary journeys,1995-1999
sanctuary,2008-
robin hood,2010
the likely lads,1976
dirty jobs,2005-
arrested development,2003-
night visions,2001-
big wave daves,
alcatraz,2012
jessie,2011-
the palace,2008-
falling skies,2011-
the one million chance of a lifetime,
bosom buddies,1980-1982
yes dear,1920
game of thrones,2011-
the wild wild west,1965-1969
leave it to beaver,1957-1963
get smart,2008
twenty one jump street,
lamb chops play along,
i dream of jeannie,1965-1970
life on mars2006,2006-2007
step by step,1991-1998
bomb girls,2012-
what would you do nickelodeon,
white christmas,1954
life on mars2008,2006-2007
wilfred,2011-2014
pardon the interruption,2001-
stromberg,2004-
clash of the dinosaurs,2009
the puzzle place,1994-1998
mad men,2007-2015
crank yankers,2002-
it aint half hot mum,
im a celebrity get me out of here,
animorphs,1998-2000
tosh0,
becker,1998-2004
gilligans island,
leonardo,2011-
blackout,2008
the most extreme,2002-
death valley,2011-
camelot,2011-
dirk gently,2010-2012
the good life,2007
unhappily ever after,1995-1999
battlestar galactica classic,
chef,2014
phone shop,
doctor who,2005-
the addams family,1991
the golden girls,1985-1992
profiler,1996-2000
how to rock,2012-
i love lucy,1951-1957
living single,1993-1998
malparida,2010-
life support,2007
horatio hornblower,1951
hardy boys nancy drew mysteries,1977-1979
jeopardy,1953
smart guy,1997-1999
my three sons,1960-1972
the thick of it,2005-2012
la petite vie,1993-1999
maverick,1994
corner gas,2004-2009
dr quinn medicine woman,1993-1998
baywatch,1989-2001
fireball xl5,1962-1963
the last enemy,2008
the names the same,
against the wall,1994
archie bunkers place,
just shoot me,2010
merlin,2008-2012
jonas,2009-2010
remington steele,1982-1987
meerkat manor,2005-
pan am,2011-2012
benson,1979-1986
luther,2010-2015
rocky jones space ranger,1954-
fairly legal,2011-
true life,1998-
titanic,1997
mantis,2005
sports night,1998-2000
a for andromeda,2006
american guns,2011-
jurassic fight club,2008-
beakmans world,
the listener,2009-
better with you,2010-
la que se avecina,2007-
evasive inquiry agency,2007-
delightful girl choon hyang,
los unicos,2011-
casados con hijos,2005-
being human,2011-2014
the incredible hulk,2008
trollied,2011-
bait car,2007-
glasgow kiss,2000-
hey dude,1989-1991
wheel of fortune,1983-
fear itself,2008-
are you being served,1972-1985
scandal,2012-
drake and josh,2006
knight rider,1982-1986
godivas,
the voice,2011-
dead set,2008
first wave,1998-2001
the daily show,2010-
insecurity,2011
downfall,2004
connor undercover,2009-
adventures in wonderland,1992-1994
the jim henson hour,1989-
lassie,1994
taken,2008
the jokers wild,
my name is earl,2005-2009
james mays man lab,
two pints of lager and a packet of crisps,2001-
strike back,2010-
canadas worst driver,
barney and friends,
finders keepers,2014
homicide life on the street,1993-1999
growing pains,1985-1992
columbo,1971-2003
clue,1985
the others,2001
johnny bago,1993-
the peoples court,
far out space nuts,1975-1976
daddys daughters,
only fools and horses,1981-2003
as the world turns,1956-2010
weird science,1985
the adventures of shirley holmes,1996-1999
special unit2,
the outer limits,1995-2002
eagleheart,2010-
blade,1998
misfits,2009-2013
the chasers war on everything,
big time rush,2009-2013
im alan partridge,
friday night dinner,2011-
dream house,2011
im telling,
hot potato,1979
webster,1983-1989
the mighty boosh,2003-2007
code name eternity,1999-
just cause,1995
casanova,2005
teen wolf,2011-
according to jim,2001-2009
die wochenshow,1996-2002
the hollowmen,2008-
the games,1970
workaholics,2011-
patito feo,2007-
bones,2005-
the fall guy,1981-1986
alarm fur cobra11,
its me or the dog,
dog the bounty hunter,2003-
csi,2000-2015
awkward,2008
eureekas castle,
insomniac with dave attell,2001-2004
the legend of dick and dom,2009-
single father,2010
the good guys,2010-
amazing,2012
ive got a secret,
jeeves and wooster,1990-1993
merlin-1998,2008-2012
the comic strip presents,1982-
buffy the vampire slayer,1997-2003
married with children,1987-1997
im in the band,
da vincis inquest,
koreanosaurus,
beastmaster,1999-2002
my wife and kids,2001-2005
ally mc beal,
kaamelott,2004-
mr sunshine,2011-
stargate atlantis,2004-2009
the andy griffith show,1960-1968
the sentinel,2006
the fresh prince of bel air,1990-1996
beauty and the beast,1991
bored to death,2009-2011
being human remake,
anna und die liebe,
how not to live your life,2007-
alias,2001-2006
switch,1991
reaper,2007-2009
ghost hunters,2004-
scrubs,2001-2010
life with derek,2005-2009
how i met your mother,2005-2014
ncis,2003-
robot wars,1993
zen,2011
the sarah jane adventures,2007-2011
as time goes by,1992-2005
hells kitchen,
burn notice,2007-2013
ten point five,
revenge,2011-2015
malcolm in the middle,2000-2006
the storyteller,1987-
around the horn,2002-
glee,2009-2015
newhart,1982-1990
one thousand ways to die,
happy days,1974-1984
the dresden files,2007-
reno911,
diplomatic immunity,1991
the war next door,2000-
the dick van dyke show,1961-1966
sons of guns,2011-
the fall and rise of reginald perrin,1976-1979
the vampyr a soap opera,1992
tucker,2000-2001
star trek the original series,
absolutely fabulous,1992-2012
the x- files,1993-2002
youre skitting me,
blackadder,1989
attack of the show,2005-
home improvement,1991-1999
split second,1992
freddys nightmares,
waiting for god,1990-1994
garth marenghis darkplace,
crash course,1988
dream high,2011-
so little time,2001-2002
pizza,2012
scarecrow and mrs king,
hearts afire,1992-1995
luck,2011-2012
dead gorgeous,2002
so random,2011-
the champions,1968-1969
thats so raven,
house,1986
guiding light,1952-2009
level up,2012-
second chance,1953
sixteen and pregnant,
randall and hopkirk deceased,
the munsters,1964-1966
what i like about you,2002-2006
wipeout2008,2008-
family affair,1966-1971
rev,2010
restaurant impossible,2011-
running wilde,2010-
millennium,1996-1999
prime suspect us,
happy endings,2011-2013
witchblade,2000
sctv,1976-1981
whale wars,2008-
dark shadows,2012
parks and recreation,2009-2015
studio3,
ninja turtles the next mutation,1997-1998
jeremiah,2002-2004
sonic the hedgehog,1993-1994
love keeps going,2011-
wheaton,2014-
bedlam,1946
the apprentice,2004-
americas most wanted,
whammy,2001
rab c nesbitt,1988-
shake it up,1929
this hour has22 minutes,
murdoch mysteries,2008-
body language,2011
dead ringers,1988
the vicar of dibley,1994-2007
little house on the prairie,1974-1983
alphas,2011-2012
down with love,2003
monarch of the glen,2000-2005
athena goddess of war,2010-2011
botineras,2009-
phoenix nights,2001-2002
britains got talent,
caprica,2009-2010
kamen rider fourze,2011-2012
whats happening,
the atheist experience,1997-
the monkees,1966-1968
dagvaktin,2008
joey,2004-2006
hi de hi,1980-1988
relic hunter,1999-2002
treinta y un minutos,
new girl,2011-
the adventures of superboy,1961
seinfeld,1989-1998
you are beautiful,2009-
top gear us,
the jury,2002
jim rome is burning,
samantha who,2007-2009
grimm,2011-
the adventures of robin hood,1938
blossom,1990-1995
grandmas house,
aaron stone,2009-2010
drop the dead donkey,1990-1998
hey dad,2011
the game,1997
the bernie mac show,2001-2006
the league of gentlemen,1999-2002
friday night lights,2004
frasier,1993-2004
mamas family,
drew careys improv a ganza,
men behaving badly,1996-1997
neverland,2011
the arsenio hall show,1989-1994
dear john,2010
boomtown,2002-2003
the royle family,1998-
christmas on vesterbro,
cold case,2003-2010
all in the family,1971-1979
haven,2010-
john adams,2008
saturday night live,1975-
the girl from uncle,1966-1967
the cosby show,1984-1992
dino lab,
the hitchhikers guide to the galaxy,
merv griffins crosswords,
summers desire,
the adventures of superman,
the young ones,1982-1984
lie to me,2009-2011
hamish macbeth,1995-1997
family matters,1989-1998
soupy norman,
that girl,1966-1971
virtues of harmony,
third rock from the sun,
raines,2007-
the suite life of zack and cody,2005-2008
master chef,2010-
the king of queens,1998-2007
the it crowd,2006-2013
better off ted,2009-2010
lawman,1971
the adventures of sinbad,1996-1998
mad about you,1992-1999
inspector george gently,2007-
the middle,2009-
seven periods with mr gormsby,2005-
the goodies,1970-1982
the new statesman,1987-1992
the adventures of sherlock holmes and doctor watson,1980
seventh heaven,1937
father ted,1995-1998
the waltons,1971-1981
colgate comedy hour,1950-1955
kytv,1989-1993
spartacus blood and sand,2009-
you have been watching,2009-2010
curb your enthusiasm,1999-
the invaders,1967-1968
frontline,1983-
break the bank1985,1976-1977
still standing,2002-2006
ax men,2008-
adam adamant lives,1966-1967
arliss,1984
full house,1987-1995
tokumei sentai go busters,2012-2013
boy meets world,1993-2000
the inbetweeners,2008-2010
firefly,2002-2003
storylords,1984
out of jimmys head,
combat,1999
the big bang theory,2007-
young dracula,2006-
the thin blue line,1988
alarm fuer cobra11,
that70s show,
face the music,1993
el chapulin colorado,1972-
petticoat junction,1963-1970
the nanny,1993-1999
mission impossible,2009
win ben steins money,
fifteen love,
alien nation,1988
arthur of the britons,1972-1973
drive,2011
person of interest,2011-
noob,2008-
tatort,1970-
takeshis castle,
lois and clark,2005
news radio,2009
hornblower,1951
cybill,1995-1998
shooting stars,2002
zeke and luther,2009-
alice1976,1990
zoom,2006
taxi,1998
power rangers rpm,2009-
spaced,1999-2001
antiques road show,
dream high2,
you cant do that on television,
animal planet heroes,2005
winter sonata,2002-
stargate universe,2009-2011
herederos de una venganza,2011-
army wives,2007-2013
night court,1984-1992
animal face off,2004-
hausmeister krause,1999-
my spy family,2007-
wmac masters,1995-1996
dateline,1984-
cupid,2009-
punky brewster,1984-1988
brimstone,1998-1999
woof,2004
hikonin sentai akibaranger,
chris ryans strike back,
the weird al show,1997-1998
melissa and joey,
keeping up appearances,1990-1995
beautiful people,1974
pitfall,1962
boris,2007-
jackpot,2011
queen of swords,2000-2001
roseanne,1988-1997
dawsons creek,
afterschool special,2013
star trek the next generation,1987-1994
rush,2013
please sir,1971
lost girl,2010-
vintergatan,1962
devil beside you,
strangers with candy,2005
auction hunters,2010-
justified,2010-2015
land of the lost,2009
smash,2012-2013
party down,2009-2010
danger man,1960-1962
vengeance unlimited,1998-1999
the bob newhart show,1972-1978
titus,1999
wallander,2008-
mystery science theater3000,
young blades,2005
star trek enterprise,2001-2005
was guckst du,2001-2005
life after dinosaurs,
murphy brown,1988-1998
dick and doms funny business,
lost in space,1998
mostly harmless,
two point four children,
americas funniest home videos,
highlander,1986
sanford and son,1972-1977
the wayans bros,1995-1999
reba,2001-2007
the a team,2010
criminal minds suspect behavior,2011
canadas worst handyman,
the fades,2011-
alice2009,1990
smallville,2001-2011
the cape,2011-
xena warrior princess,2005
the borgias,2011-2013
the collector,2009
heil honey im home,
american chopper,2003-
alfred hitchcock presents,1955-1962
top chef,2006-
sir arthur conan doyles the lost world,
viper,1996-1999
pets,1974
barefoot contessa,2002-
chespirito,1970-1973
pj katies farm,
suits,2011-
the facts of life,1979-1988
after lately,2011-2013
sirens,1993
you rang m lord,
amen,2013
ace of cakes,2006-
steptoe and son,1962-1974
not going out,2006-
greys anatomy,
mac gyver,
little mosque on the prairie,2007-2012
man about the house,1973-1976
perfect strangers,1986-1993
rutland weekend television,1975-1976
mythbusters,2003-
one hundred deeds for eddie mcdowd,
sherlock holmes,2009
barney miller,1974-1982
veep,2012-
starsky and hutch,1975-1979
bizarre dinosaurs,2009
cheap seats,2005
wkrp in cincinnati,1978-1982
monk,2002-2009
americas got talent,
young hercules,1998-1999
the brady bunch,1969-1974
russell howards good news,
dan le batard is highly questionable,
monty pythons flying circus,
star trek voyager,2000
terriers,2010-
le coeur a ses raisons,2005-
black and white tw,
mrs browns boys,
its garry shandlings show,
gimme gimme gimme,1999-2001
house of lies,2012-
fresh meat,2011-
prison break,2005-2009
community,2009-
the great outdoors,1988
the rat patrol,1966-1968
the quest for karla,
the honeymooners,2005
one foot in the grave,1990-2001
wild romance,2006
spin city,1996-2002
people like us,2012
the secret circle,2011-2012
modern family,2009-
whats my line,
my place,2009-
laverne and shirley,2002
the cross wits,1975-1980
mars,1997
jackass,2000-2002
dinnerladies,1998-2000
desmonds,
honey i shrunk the kids,1989
girls,2012-
the mole,2001-
crime story,1993
dads army,
the fugitive,1993
raising hope,2010-2014
countdown with keith olbermann,
lead balloon,2006-2011
awake,2007
whitney,2011-2013
the invisible man,1933
f troop,1965-1967
diffrent strokes,
survivor,2000-
the librarians,2014-
lizzie mc guire,
son de fierro,2007-
lasko die faust gottes,
the osbournes,2002-2005
danger5,
one eight hundred missing,
american restoration,2010-
battlestar galactica reimagined,
the mary tyler moore show,2002
fawlty towers,1975-1979
pee wees playhouse,
everybody loves raymond,1996-2005
wizards and warriors,1983-
todays special,
golden palace,1992-1993
sherlock,2010-
grounded for life,2001-2005
flash forward,1996-
chase,2010-
the war at home,2005-2007
the increasingly poor decisions of todd margaret,2009-
black books,2000-2004
wonder woman,2009
blank check,1994
i claudius,2002
sliders,1995-2000
after mash,1983-1984
the secrets of isis,
max headroom,1987-1988
my phone genie,2012-
sos mi vida,
the x factor,2011-
everybody hates chris,2005-2009
peep show,2003-2015
dinosaur revolution,2011-
twenty four,1997
sabrina the teenage witch,1996
cheers,1982-1993
let them eat cake,1999-
its always sunny in philadelphia,
monsters resurrected,2009-
mongrels,2010-2011
night gallery,1969-1973
naeturvaktin,
american horror story,2011-
good luck charlie,2010-2014
identity,2003
the office,2005-2013
nyc22,
dont trust the b in apartment23,
dasshutsu game dero,
slings and arrows,2003-2006
stingray,1964-1965
the red green show,1991-2006
wild boys,2011-
welcome back kotter,1975-1979
between the lions,1999-
rome,2005-2007
tomorrows pioneers,
law and order la,
the norm show,
outnumbered,2009-
all the small things,2009-
red dwarf,1988-
puppy bowl,2007
lie to me sk,
beetleborgs,1996-
no heroics,2008-
tales from the darkside,1983-1988
suddenly susan,1996-2000
lifes too short,
kung fu,1972-1975
will and grace,
what would you do,1911
psych,2006-2014
the naked truth,1995-1998
once upon a time,2011-
river monsters,2009-
the jeff foxworthy show,1995-1997
hang time,1995-2000
doctor candido perez,
the man from uncle,2015
torchwood,2006-2011
body of proof,2011-2013
homeland,2011-
russian roulette,1975
mister rogers neighborhood,1968-2001
name that tune,1953-1959
borgen,2010-
the walking dead,2010-
kingdom,2014-
last of the summer wine,1973-
the beverly hillbillies,1993
the firm,1993
fraggle rock,1983-1987
without a trace,2002-2009
hannah montana,2006-2011
kaizoku sentai gokaiger,2012
the old guys,2009-
fated to love you,2014-
raumpatrouille,1966-
hallo spencer,1979-
wings,1927
austin and ally,
renegade,2004
brady bunch spin offs,
lost,2004-2010
blood ties,2013
grange hill,1978-2008
the secret adventures of jules verne,2000-
forever knight,1992-1996
him and her,2013
the hard times of rj berger,2010-
bewitched,2005
goodnight sweetheart,1993-1999
sports nation,
ein herz und eine seele,1973-1976
yes minister,1980-1984
the wanderer,1967
absolutely,1989-1993
torchwood children of earth,
quantum leap,1989-1993
combat hospital,2011-
red cap,2003-2004
best love,2009
scrabble,1984-1990
yo soy betty la fea,1999-2001
law and order,1953
the chronicle,2001-2002
captain bluebear,
tin man,2007
caitlins way,
the o reilly factor,
dragons den,2005-
bottom,1991-1995
camera cafe,2004-
for love please ring bell twice,
parker lewis cant lose,
inspector lynley,2001-2008
noels christmas presents,
dino gangs,2011
portlandia,2011-
jonathan creek,1997-2014
the adventures of lano and woodley,
porridge,1974-1977
benidorm,2007-
war of the worlds,2005
saved by the bell,1989-1993
sweet genius,2011-
it takes a thief,1968-1970
pretty little liars,2010-
off centre,2001-2002
suburgatory,2011-2014
two broke girls,
necessary roughness,1991
who do you think you are,2004
roar,1997-
the prisoner,1967-1968
fringe,2008-2013
green acres,1965-1971
true jackson vp,2008-2011
animal armageddon,2009-
star trek deep space nine,1993-1999
blakes seven,
the finder,2012-
threes company,
the magnificent seven,1960
kir royal,1986
touch,2012-2013
the hogan family,
pit bulls and parolees,2009-
state of play,2009
whites,2010-
between the lines,1977
conquest,1983
mawang,
how its made,
whos the boss,2007
aqui no hay quien viva,2003-2006
mysterious ways,2000-2002
scattergories,1993-
flash gordon,1980
dont tell my mother,
mr brain,2009-
mastermind,1972-
flashpoint,2008-2012
rowan and martins laugh in,
